"","Lake","DOY","layer.no","depth","layer.thickness","layer.zone.mean","TempC.mean","TempC.sd","PAR.max","PAR.mean","Zmix.mean","metalim.max.mean","thermocline.depth.mean","mean.KD","mean.Zeu","Sc","U10","k600","Ks","Ds.sum","N2","Kv","Dv.sum","Dz.sum","PPP","R2","post.mean.dev","pD","DIC","Rhat.test","A.Rhat","R.Rhat","p.Rhat","theta.Rhat","A.auto.corr","R.auto.corr","p.auto.corr","theta.auto.corr","p.mean","p.sd","A.mean","A.sd","R.mean","R.sd","theta.mean","theta.sd","ER.mean","ER.sd","GPP.mean","GPP.sd","NEP.mean","NEP.sd"
"1","Stechlin",245,1,1,2,1,18.416375,0.0891376866084879,503.053,134.880625,7.9875,13.3041666666667,10.6458333333333,-0.333154704545447,13.8073991969473,574.131488112458,3.30502035720253,0.0378541149471582,0.0387010749558682,0.0681291884168295,2.17374353532539e-05,0.0308493619277965,-0.00239191672190654,0,0.456666666666667,0.97916467756504,-151.183359663561,3.99278490820443,-147.190574755357,"Convergence OK",1.00237627838002,1.00251050189814,1,1,-0.00584982155131944,-0.00552032765728497,NA,NA,1,0,7.41686324285861e-05,3.64349391599753e-06,0.0046631028746383,0.000581846554739997,1.07177,0,0.111914468991319,0.0139643173137599,0.240093875936711,0.0117944816777627,0.128179406945392,0.00418933500287511
"2","Stechlin",245,2,3,2,1,18.3933125,0.0634846459526958,165.672,51.5333333333333,7.9875,13.3041666666667,10.6458333333333,-0.333154704545447,13.8073991969473,574.80211377055,3.30502035720253,0.0378541149471582,0.0386738230730495,0.0684174530541695,3.43209442599216e-05,0.0410116389545515,0.005627821175952,0,0.443666666666667,0.971984740681494,-144.830098029029,3.77462830372477,-141.055469725304,"Convergence OK",1.00076139008302,1.00077564468715,1,1,0.0156784632359393,0.033325561013723,NA,NA,1,0,0.000205649859443686,1.1310922937375e-05,0.00532516790369192,0.000683695005309039,1.07177,0,0.127804029688606,0.0164086801274169,0.254347746159951,0.0139893494889454,0.126543716471345,0.00466720312846308
"3","Stechlin",245,3,5,2,1,18.3567083333333,0.0360612150638894,203.872,55.524625,7.9875,13.3041666666667,10.6458333333333,-0.333154704545447,13.8073991969473,575.872843064921,3.30502035720253,0.0378541149471582,0.0386363646232585,0.0662511775785893,3.61016772729374e-05,0.0500323436837057,0.00358742967721608,0,0.441333333333333,0.96807498371228,-136.914696900975,3.91358429283816,-133.001112608137,"Convergence OK",1.00170025251364,1.00297274767436,1,1,0.00295955686964947,-0.0155050120173756,NA,NA,1,0,0.000169601195959763,1.07405692476324e-05,0.00271062576808175,0.000679315739710861,1.07177,0,0.0650550184339619,0.0163035777530607,0.226009027325217,0.0143127859142717,0.160954008891255,0.00512083245785915
"4","Stechlin",245,4,7,2,1,18.3180208333333,0.0299381533392146,111.657,30.5122916666667,7.9875,13.3041666666667,10.6458333333333,-0.333154704545447,13.8073991969473,577.010634783476,3.30502035720253,0.0378541149471582,0.0385990480738313,0.0613956909207516,0.000412612925588335,0.0256957389114008,-0.00808681558875698,0.00409500000000014,0.440333333333333,0.911780221511416,-122.331784397229,3.71220955943983,-118.619574837789,"Convergence OK",1.00124463782047,1.00173609185882,1,1,0.019101082576892,0.0385326677899626,NA,NA,1,0,0.000311328457199292,2.63652964819984e-05,0.00610559282154797,0.000913104429736197,1.07177,0,0.146534227717151,0.0219145063136687,0.227984272564755,0.019307174787285,0.0814500448476041,0.00703210196975696
"5","Stechlin",245,5,9,2,2,17.8616041666667,0.432119170840604,54.629,14.1012083333333,7.9875,13.3041666666667,10.6458333333333,-0.333154704545447,13.8073991969473,590.929537615372,3.30502035720253,0.0378541149471582,0.0381273378153413,0,0.00462464727951577,0.00569127725733311,-0.0355082758040173,0.00579499999999965,0.455666666666667,0.527284957458129,-69.0088842091447,3.75192713381409,-65.2569570753306,"Convergence OK",1.00077093304529,1.00088963765894,1,1,-0.017623008023019,-0.0119866815593019,NA,NA,1,0,0.00104352216662796,0.000185435294974873,0.0296073760924577,0.00299264906973681,1.07177,0,0.710577026218985,0.0718235776736835,0.353158163329732,0.0627566814430513,-0.357418862889253,0.0215535370242057
"6","Stechlin",245,6,11,2,2,11.0670833333333,0.466106296578522,30.401,7.46270833333333,7.9875,13.3041666666667,10.6458333333333,-0.333154704545447,13.8073991969473,870.578995134707,3.30502035720253,0.0378541149471582,0.0314983160361257,0,0.000969703776022111,0.0108960491384015,0.145339970905722,0.00793500000000016,0.463333333333333,0.939408554413634,-72.3421755457443,5.21002982808894,-67.1321457176554,"Convergence OK",1.00071353386401,1.00063523413242,1,1,-0.0038037416611376,-0.00540573079289155,NA,NA,1,0,0.000126082353381899,0.000125226103103086,0.00768811268019175,0.00129430902687032,1.07177,0,0.184514704324602,0.0310634166448876,0.0225819799024651,0.0224286211962782,-0.161932724422137,0.019225711884985
"7","Stechlin",245,7,13,2,2,8.49695833333333,0.307091542670439,8.238,2.05733333333333,7.9875,13.3041666666667,10.6458333333333,-0.333154704545447,13.8073991969473,1024.18684372021,3.30502035720253,0.0378541149471582,0.0290157647091714,0,0.00033076217896739,0.0170949291297419,0.0626607612456354,0.0177200000000002,0.455666666666667,0.919464957373542,-67.8290664709981,3.91867710141793,-63.9103893695801,"Convergence OK",1.00264764286942,1.00125561453324,1,1,-0.0020182284862961,0.00110086068801958,NA,NA,1,0,0.000834999160884348,0.00068405750191797,0.0151814543314578,0.00169702093785375,1.07177,0,0.364354903954988,0.04072850250849,0.0412289185678256,0.0337760232147017,-0.323125985387163,0.0207666234223072
"8","Stechlin",245,8,15,2,3,7.17489583333333,0.235362808703955,0,0,7.9875,13.3041666666667,10.6458333333333,-0.333154704545447,13.8073991969473,1116.14353419867,3.30502035720253,0.0378541149471582,0.0277506769050547,0,0.000143105938524479,0.023612862453384,0.000441588146237382,0,0.464333333333333,0.763703295756838,-33.275677174314,2.42633920096804,-30.8493379733459,"Convergence OK",1.00083697737139,1.00150539125847,1,1,0.0162192916854383,0.0161326886091992,NA,NA,1,0,1.58342314210519,1.22774538208159,0.0246850362191733,0.00187982576902453,1.07177,0,0.592440869260159,0.0451158184565886,0,0,-0.592440869260159,0.0451158184565886
"9","Stechlin",245,9,17,2,3,6.38429166666667,0.213019998891034,0,0,7.9875,13.3041666666667,10.6458333333333,-0.333154704545447,13.8073991969473,1175.72788689463,3.30502035720253,0.0378541149471582,0.0270366598216825,0,-3.09796300338215e-06,0.0230010733346797,-0.171670563036082,0,0.547,0.545932925497631,-17.6265126266047,1.40424642502697,-16.2222662015777,"Convergence OK",1.00169936315284,1.00059104221627,1,1,-0.00107059830889974,-0.00448972275897514,NA,NA,1,0,1.63249724809973,1.25976064913777,0.0366544857318258,0.00254099828873456,1.07177,0,0.879707657563819,0.0609839589296294,0,0,-0.879707657563819,0.0609839589296294
"10","Stechlin",246,1,1,2,1,18.3925833333333,0.115414721639029,497.906,126.656458333333,8.15833333333333,13.0583333333333,10.6083333333333,-0.304343653016411,15.1144929569205,574.833757194639,3.98196559817417,0.043854738626372,0.0448173097311835,0.0832307047364747,1.95293514306266e-05,0.0595925694040635,-0.0107339552614981,0,0.462,0.91262937311162,-131.922151132577,3.55253605826501,-128.369615074312,"Convergence OK",1.00099878557318,1.00362676605128,1,1,-0.00212164775851678,0.00979456441570949,NA,NA,1,0,5.23168881552404e-05,5.03695984486044e-06,0.00147540444555346,0.000766308691580849,1.07177,0,0.035409706693283,0.0183914085979404,0.159030522354333,0.0153111238732138,0.12362081566105,0.00602112216754154
"11","Stechlin",246,2,3,2,1,18.3717708333333,0.107689870659935,112.035,37.1295833333333,8.15833333333333,13.0583333333333,10.6083333333333,-0.304343653016411,15.1144929569205,575.442047086244,3.98196559817417,0.043854738626372,0.0447881037591627,0.0843894230177705,2.22739652835456e-05,0.0904850506917604,0.0121001619542186,0,0.455666666666667,0.93123467063584,-134.213515879076,3.43988322962443,-130.773632649452,"Convergence OK",1.00107552673294,1.0024754121001,1,1,-0.00881896925053693,-0.00601682447308458,NA,NA,1,0,0.000212829300579249,1.77121752482897e-05,0.00144303572995875,0.000756864187098045,1.07177,0,0.0346328575190101,0.0181647404903531,0.189654318039175,0.0157834964855034,0.155021460520165,0.00558720985983565
"12","Stechlin",246,3,5,2,1,18.348,0.0975929879875999,178.784,48.452625,8.15833333333333,13.0583333333333,10.6083333333333,-0.304343653016411,15.1144929569205,576.137895747052,3.98196559817417,0.043854738626372,0.044755723308664,0.0831051451393544,2.50313851979247e-05,0.0537007973300731,0.00217223219152374,0,0.433,0.964694836285004,-152.725487029731,3.96679755032171,-148.758689479409,"Convergence OK",1.00074560440261,1.00056049000436,1,1,-0.0207902026696218,-0.0120964341927844,NA,NA,1,0,0.000155802597940735,9.06377432766467e-06,0.00217768396164634,0.000522931890141891,1.07177,0,0.0522644150795123,0.0125503653634054,0.181177076449157,0.0105399278059911,0.128912661369645,0.0040669257571307
"13","Stechlin",246,4,7,2,1,18.3211875,0.0934642238576042,122.624,32.6208333333333,8.15833333333333,13.0583333333333,10.6083333333333,-0.304343653016411,15.1144929569205,576.92607347398,3.98196559817417,0.043854738626372,0.044721183778894,0.080145524662806,0.000124473396393537,0.0378569298680396,-0.00290999441036993,0,0.466666666666667,0.966017093312147,-152.242766320074,4.34204050564601,-147.900725814428,"Convergence OK",1.00063856433686,1.00092848573875,1,1,-0.0017514434763424,-0.000761078235273639,NA,NA,1,0,0.000227352548764448,1.34118971584817e-05,0.0021104422879669,0.000508734449581513,1.07177,0,0.0506506149112056,0.0122096267899563,0.177994310427687,0.0105001742853753,0.127343695516481,0.00404169397262881
"14","Stechlin",246,5,9,2,2,18.1868541666667,0.110583283504243,75.937,20.1342916666667,8.15833333333333,13.0583333333333,10.6083333333333,-0.304343653016411,15.1144929569205,580.90870794724,3.98196559817417,0.043854738626372,0.044560727113968,0,0.00500628550135099,0.00548487613792259,-0.0316019902875139,0.000174999999999945,0.459,0.92298334875241,-121.78259960168,3.45433440927314,-118.328265192407,"Convergence OK",1.000855109093,1.00138420273528,1,1,-0.0120407236006726,-0.00971666644771554,NA,NA,1,0,0.000394219997661848,3.95344760984672e-05,0.00591272750874242,0.000905232776893637,1.07177,0,0.141905460209818,0.0217255866454473,0.190496169930151,0.0191039681437296,0.0485907097203329,0.00683806822750409
"15","Stechlin",246,6,11,2,2,10.8653125,0.511368407410769,32.258,8.82833333333333,8.15833333333333,13.0583333333333,10.6083333333333,-0.304343653016411,15.1144929569205,881.641524744824,3.98196559817417,0.043854738626372,0.0362495290765067,0,0.000859444820339237,0.011718672063871,0.124200905057889,-0.00188499999999986,0.455666666666667,0.768117604303021,-56.2973573754928,4.81286395281239,-51.4844934226805,"Convergence OK",1.00106977825996,1.00213959681709,1,1,-0.0187455206404529,-0.045120899294945,NA,NA,1,0,0.00172102370203102,0.000150897355081691,0.00107958965558727,0.00108810329145377,1.07177,0,0.0259101517340944,0.0261144789948906,0.364650501986333,0.0319721315947087,0.338740350252239,0.0240742615349289
"16","Stechlin",246,7,13,2,2,8.57225,0.180492924105556,12.111,2.94170833333333,8.15833333333333,13.0583333333333,10.6083333333333,-0.304343653016411,15.1144929569205,1019.06821414882,3.98196559817417,0.043854738626372,0.0336669880696249,0,0.000329242522743399,0.0168281297502551,0.081629907592711,0.00422499999999956,0.456666666666667,0.601223585106031,-34.5183630810245,4.72493767765016,-29.7934254033743,"Convergence OK",1.00066299643461,1.00058488895333,1,1,-0.0155538340052793,-0.00635680584327835,NA,NA,1,0,0.00526389211253009,0.000742901408319623,0.00181368675760574,0.00183809610796029,1.07177,0,0.0435284821825377,0.0441143065910471,0.371636047036737,0.0524495823287737,0.328107564854199,0.0383466131651383
"17","Stechlin",246,8,15,2,3,7.28239583333333,0.175143232016012,0,0,8.15833333333333,13.0583333333333,10.6083333333333,-0.304343653016411,15.1144929569205,1108.24265874705,3.98196559817417,0.043854738626372,0.0322734358353701,0,0.000135260883558386,0.0246325940945044,0.0481561397596832,0,0.647333333333333,0.56720231381386,-12.3310376397333,2.18299838671989,-10.1480392530134,"Convergence OK",1.00213563230191,1.0016801622061,1,1,0.0150684622277443,-0.0226875419459753,NA,NA,1,0,1.59303876181655,1.21555048508175,0.000574074594838123,0.00056013284233661,1.07177,0,0.013777790276115,0.0134431882160786,0,0,-0.013777790276115,0.0134431882160786
"18","Stechlin",246,9,17,2,3,6.5725,0.153334034339922,0,0,8.15833333333333,13.0583333333333,10.6083333333333,-0.304343653016411,15.1144929569205,1161.15761659571,3.98196559817417,0.043854738626372,0.0315348506459221,0,-9.69929950757144e-07,0.0293165222307089,-0.223013406596644,0,0.441333333333333,0.797941148236786,-85.6925814374077,2.45378175089019,-83.2387996865175,"Convergence OK",1.00084251233446,1.00062294775518,1,1,0.00577725115977659,-0.0225510651594196,NA,NA,1,0,1.60414493790875,1.20029634209794,0.000491275958362433,0.000384191012640152,1.07177,0,0.0117906230006984,0.00922058430336365,0,0,-0.0117906230006984,0.00922058430336365
